card_id,card_url,img_url,name,price,state
835861095,https://www.olx.pl/d/oferta/wykonam-uslugi-budowlane-stolarskie-i-inne-CID4371-IDUzbEz.html,https://ireland.apollo.olxcdn.com:443/v1/files/jr00aakvl2ja2-PL/image;s=200x0;q=50,Wykonam usługi budowlane stolarskie i inne,,
836852892,https://www.olx.pl/d/oferta/akustyczne-panele-scienne-producent-15-kolorow-na-filcu-na-plycie-CID628-IDUDlFi.html,https://ireland.apollo.olxcdn.com:443/v1/files/jqk3t9pwguot3-PL/image;s=200x0;q=50,"AKUSTYCZNE PANELE ŚCIENNE [PRODUCENT] [15 kolorów] na filcu, na płycie","9,99 złdo negocjacji",
225909629,https://www.olx.pl/d/oferta/plyta-warstwowa-obornicka-dach-sciana-1-2-gatunek-40-100-CID628-IDfhTpH.html,https://ireland.apollo.olxcdn.com:443/v1/files/91na1mck3vuc3-PL/image;s=200x0;q=50,Płyta Warstwowa Obornicka DACH ŚCIANA 1 2 gatunek 40 - 100,"49,90 złdo negocjacji",Nowe
853238394,https://www.olx.pl/d/oferta/garnitur-damski-elegancki-CID87-IDWK6hA.html,https://ireland.apollo.olxcdn.com:443/v1/files/5f7ccj844i632-PL/image;s=200x0;q=50,garnitur damski elegancki,130 zł,Używane
661673313,https://www.olx.pl/d/oferta/704-modelujacy-gorset-bielizna-goth-steampunk-zakardowy-fiszbiny-CID87-IDIMjsd.html,https://ireland.apollo.olxcdn.com:443/v1/files/leigs9l9ghev3-PL/image;s=200x0;q=50,704/ Modelujący Gorset bielizna goth steampunk żakardowy fiszbiny,145 zł,Nowe
789531848,https://www.olx.pl/d/oferta/krokwie-kantowki-deski-szalunkowe-laty-kontrlaty-CID628-IDRqNiE.html,https://ireland.apollo.olxcdn.com:443/v1/files/ujkcab9x5qd23-PL/image;s=200x0;q=50,"Krokwie, kantówki, deski szalunkowe,łaty, kontrłaty",1 000 zł,Nowe
848657066,https://www.olx.pl/d/oferta/iphone-14-128gb-starlight-sklep-warszawa-CID99-IDWqStc.html,https://ireland.apollo.olxcdn.com:443/v1/files/4rlfve5jpppz1-PL/image;s=200x0;q=50,iPhone 14 128GB Starlight SKLEP WARSZAWA,3 550 zł,Nowe
852042450,https://www.olx.pl/d/oferta/cysia-5-letnia-kotka-szuka-domu-na-zawsze-CID103-IDWF5aa.html,https://ireland.apollo.olxcdn.com:443/v1/files/34apqj9w3s7v-PL/image;s=200x0;q=50,Cysia - 5 letnia kotka szuka domu na zawsze,Za darmo,
851840559,https://www.olx.pl/d/oferta/zabytkowa-tokarka-do-drewna-CID4042-IDWEeDR.html,https://ireland.apollo.olxcdn.com:443/v1/files/3dbqnpat06mz-PL/image;s=200x0;q=50,Zabytkowa tokarka do drewna,3 000 złdo negocjacji,
820592833,https://www.olx.pl/d/oferta/suzuki-gsx-r750-k7-CID5-IDTx7Gh.html,https://ireland.apollo.olxcdn.com:443/v1/files/ef26qv86wcea1-PL/image;s=200x0;q=50,Suzuki GSX R750 K7,16 000 złdo negocjacji,
636606132,https://www.olx.pl/d/oferta/carver-1800-ogrzewanie-niezawodny-prosty-montaz-kemping-CID767-IDH58kQ.html,https://ireland.apollo.olxcdn.com:443/v1/files/4ebjq27hrjju-PL/image;s=200x0;q=50,Carver 1800 OGRZEWANIE niezawodny prosty montaż kemping,1 000 zł,Używane
818545370,https://www.olx.pl/d/oferta/wiata-smietnikowa-wiata-panelowa-smietnik-CID628-IDTox2G.html,https://ireland.apollo.olxcdn.com:443/v1/files/899q6s5b7rwd2-PL/image;s=200x0;q=50,Wiata śmietnikowa Wiata panelowa Śmietnik,3 200 zł,Nowe
544414565,https://www.olx.pl/d/oferta/bluzka-dziewczeca-CID88-IDAQj65.html,https://ireland.apollo.olxcdn.com:443/v1/files/dt6fp1c0klwk1-PL/image;s=200x0;q=50,Bluzka dziewczęca,20 zł,Używane
517403582,https://www.olx.pl/d/oferta/nosidelko-maxi-cosi-cabrio-0-13-kg-CID88-IDz0Yj4.html,https://ireland.apollo.olxcdn.com:443/v1/files/xgwgt3dy06ua1-PL/image;s=200x0;q=50,Nosidelko Maxi-Cosi Cabrio 0 -13 kg,110 zł,Używane
759863907,https://www.olx.pl/d/oferta/pompa-ciepla-panasonic-t-cap-9kwp-montaz-plus-dofinansowanie-CID628-IDPqjjt.html,https://ireland.apollo.olxcdn.com:443/v1/files/3v47jd5ts80u2-PL/image;s=200x0;q=50,Pompa Ciepła Panasonic T Cap 9kWp montaż plus dofinansowanie,43 000 zł,Nowe
850758488,https://www.olx.pl/d/oferta/malowanie-dachow-i-elewacji-dachowki-blacha-wycena-CID628-IDWzH96.html,https://ireland.apollo.olxcdn.com:443/v1/files/wbqdposy4y812-PL/image;s=200x0;q=50,"Malowanie dachów i elewacji, dachówki blacha WYCENA!",35 zł,
781166466,https://www.olx.pl/d/oferta/sukienka-dresowa-dziewczeca-elegancka-r-122-128-CID88-IDQRH58.html,https://ireland.apollo.olxcdn.com:443/v1/files/54fzh9ehm7dc1-PL/image;r=270;s=200x0;q=50,Sukienka dresowa dziewczęca elegancka r. 122 128,12 zł,Używane
574812954,https://www.olx.pl/d/oferta/butle-8l-butla-150-bar-dwutlenek-wegla-co2-hurt-paleta-CID4269-IDCTR6G.html,https://ireland.apollo.olxcdn.com:443/v1/files/hdijyr8cvbtp3-PL/image;s=200x0;q=50,"Butle 8L butla 150 bar Dwutlenek węgla, CO2, HURT, Paleta",4 800 zł,
846980460,https://www.olx.pl/d/oferta/jaja-legowe-kacze-staropolska-mix-od-kaczek-czubatych-wysylam-CID103-IDWjQja.html,https://ireland.apollo.olxcdn.com:443/v1/files/itnyy06c9x7t-PL/image;s=200x0;q=50,Jaja lęgowe kacze staropolska mix od kaczek  czubatych wysylam,"2,50 zł",
829911217,https://www.olx.pl/d/oferta/honda-cb1000r-black-edition-CID5-IDUadON.html,https://ireland.apollo.olxcdn.com:443/v1/files/5yzvrykjio31-PL/image;s=200x0;q=50,Honda cb1000r black edition,46 500 złdo negocjacji,
823354652,https://www.olx.pl/d/oferta/miski-dla-psa-na-podstawie-silikonowej-CID103-IDTII9K.html,https://ireland.apollo.olxcdn.com:443/v1/files/ofmvc2ppkse23-PL/image;s=200x0;q=50,miski dla psa na podstawie silikonowej,55 zł,Używane
