card_id,card_url,img_url,name,price,state
852845910,https://www.olx.pl/d/oferta/wynajem-wypozyczalnia-minikoparki-koparki-z-laweta-z-transportem-CID3018-IDWIsbc.html,https://ireland.apollo.olxcdn.com:443/v1/files/jtaj4xf6o14z-PL/image;s=200x0;q=50,Wynajem wypożyczalnia minikoparki koparki z lawetą z transportem,300 zł za dobę,
847265095,https://www.olx.pl/https://www.otomoto.pl/osobowe/oferta/toyota-corolla-1-8-hybrid-gaz-comfort-czujniki-parkowania-serwis-aso-ID6FEpZx.html,https://ireland.apollo.olxcdn.com:443/v1/files/gxijroth4vkq1-PL/image;s=200x0;q=50,Toyota Corolla 1.8 Hybrid +GAZ Comfort+Czujniki parkowania Serwis ASO!,87 900 zł,
827802548,https://www.olx.pl/d/oferta/lampa-sufitowa-plafon-CID628-IDU1ng0.html,https://ireland.apollo.olxcdn.com:443/v1/files/gj3lx48etkii1-PL/image;s=200x0;q=50,Lampa sufitowa plafon,60 zł,Nowe
791363341,https://www.olx.pl/d/oferta/craghoppers-kiwi-meskie-spodnie-trekkingowe-zimowe-CID87-IDRytKR.html,https://ireland.apollo.olxcdn.com:443/v1/files/gw0qxe7v0mpu-PL/image;s=200x0;q=50,Craghoppers Kiwi męskie spodnie trekkingowe zimowe,120 zł,Używane
831804869,https://www.olx.pl/d/oferta/spodnie-damskie-l-CID87-IDUiarz.html,/app/static/media/no_thumbnail.15f456ec5.svg,Spodnie damskie L,18 zł,Używane
601349954,https://www.olx.pl/d/oferta/bluzka-do-biegania-4f-CID87-IDEHcAO.html,/app/static/media/no_thumbnail.15f456ec5.svg,Bluzka do biegania 4f,25 zł,Używane
812574895,https://www.olx.pl/d/oferta/czarne-spodnie-na-kant-h-m-44-CID87-IDSZtQH.html,/app/static/media/no_thumbnail.15f456ec5.svg,Czarne spodnie na kant H&M 44,39 złdo negocjacji,Używane
840438262,https://www.olx.pl/d/oferta/plaszcz-wiosna-jesien-parka-damska-CID87-IDUSonQ.html,/app/static/media/no_thumbnail.15f456ec5.svg,Płaszcz wiosna jesień parka damska,30 zł,Używane
820209403,https://www.olx.pl/d/oferta/sprzedam-wozek-spacerowy-CID88-IDTwwWW.html,/app/static/media/no_thumbnail.15f456ec5.svg,Sprzedam wózek spacerowy,400 zł,Używane
667649371,https://www.olx.pl/d/oferta/gh-kh-plus-shrimp-nature-CID103-IDJbo6f.html,/app/static/media/no_thumbnail.15f456ec5.svg,GH/KH Plus Shrimp nature,19 zł,Używane
